chr,pos
S1D_3017447,1D,3.017447
S1D_19837198,1D,57.9799168161993
S1D_25691423,1D,72.4282156388501
S1D_30850043,1D,77.4469051364495
S1D_37076855,1D,84.5917981824475
S1D_42476703,1D,85.8154665687897
S1D_70598586,1D,89.8459188706146
S1D_180960376,1D,93.2301230724326
S1D_199544776,1D,95.6506935716425
S1D_235957608,1D,98.9179429181412
S1D_260426520,1D,99.7937253068637
S1D_270515721,1D,100.896336934947
S1D_277194622,1D,100.896336984947
S1D_288030459,1D,101.110828073299
S1D_293425769,1D,101.110828123299
S1D_298478332,1D,101.320472270863
S1D_305510110,1D,102.848368136022
S1D_311631939,1D,103.052860504264
S1D_319408872,1D,105.455904258732
S1D_330753531,1D,107.145596038012
S1D_338590945,1D,110.920751813306
S1D_344662931,1D,113.921986520931
S1D_352080113,1D,117.336814757068
S1D_361721794,1D,119.624864087223
S1D_376644981,1D,122.446828741504
S1D_381891237,1D,126.833913174048
S1D_388294118,1D,130.71238680273
S1D_395991220,1D,132.06649022996
S1D_403433005,1D,137.094515896283
S1D_408791873,1D,144.59546092246
S1D_414469780,1D,149.756587242744
S1D_419564722,1D,157.548098413236
S1D_450538829,1D,207.353749303135
S1D_455566705,1D,217.323420238437
S1D_460817560,1D,228.034343847294
S1D_466071606,1D,233.037525504563
S1D_472488008,1D,242.03110002474
S1D_478591872,1D,260.509439486323
S1D_484698776,1D,280.664277255631
S2A_728838,2A,0.728838
S2A_7118041,2A,16.230732580877
S2A_13311871,2A,21.120067373055
S2A_19985041,2A,37.760496215544
S2A_25005117,2A,55.2061424542596
S2A_32128753,2A,65.5229376789332
S2A_37268402,2A,81.1198449783722
S2A_43091424,2A,90.0171447383526
S2A_57133203,2A,110.995681086682
S2A_83530785,2A,122.656396101966
S2A_88578074,2A,125.152735503439
S2A_100346356,2A,125.75080926457
S2A_106518064,2A,125.868523592245
S2A_112083661,2A,128.587416169007
S2A_128120092,2A,130.100637271648
S2A_137534256,2A,130.100637321648
S2A_145044216,2A,130.318685907675
S2A_166194188,2A,130.973528576694
S2A_176336822,2A,131.62820073471
S2A_181386764,2A,132.050642535547
S2A_188331784,2A,132.373034526606
S2A_196639449,2A,133.958208329854
S2A_210621826,2A,134.46652442434
S2A_257586535,2A,134.58152690809
S2A_278824815,2A,134.732074070964
S2A_287435362,2A,136.274904741243
S2A_305125740,2A,137.817717144677
S2A_311582913,2A,137.817717194677
S2A_316856082,2A,139.22254589649
S2A_323101458,2A,140.627369739329
S2A_350415073,2A,140.827497426958
S2A_356209248,2A,140.993088516808
S2A_365536677,2A,140.993088566808
S2A_373588390,2A,141.050815181514
S2A_384736708,2A,142.790329982037
S2A_404658918,2A,142.790330032037
S2A_410915662,2A,142.790330082037
S2A_448132252,2A,142.790330132037
S2A_502353447,2A,143.097412695174
S2A_507759162,2A,145.268816016377
S2A_518405450,2A,147.567353940415
S2A_528892079,2A,148.439198089877
S2A_542649928,2A,149.060840796907
S2A_553401461,2A,151.768028069183
S2A_563316272,2A,152.189856888356
S2A_569422853,2A,153.377835191993
S2A_583143644,2A,155.639523564102
S2A_590675850,2A,157.062352790018
S2A_596047320,2A,159.194015773422
S2A_602759807,2A,163.034267755183
S2A_607828412,2A,163.388632722884
S2A_613141749,2A,164.698634798882
S2A_619823048,2A,171.233520779754
S2A_624957627,2A,172.899288417936
S2A_630375385,2A,173.356603357608
S2A_635395940,2A,173.789247773502
S2A_640676897,2A,176.324070953764
S2A_645931255,2A,176.845426326606
S2A_652384159,2A,177.992739368286
S2A_658500780,2A,180.783440545711
S2A_665316254,2A,183.541005706261
S2A_671254991,2A,184.06809845261
S2A_676795164,2A,187.957279353071
S2A_682422920,2A,193.470260351462
S2A_699038791,2A,206.043736241342
S2A_704168000,2A,210.405148768599
S2A_709269602,2A,211.651578555899
S2A_714770594,2A,215.425658417881
S2A_719875547,2A,218.474399537771
S2A_725683919,2A,226.256185578574
S2A_731199740,2A,240.963019336998
S2A_737479300,2A,243.3058091167
S2A_749097438,2A,276.390213152964
S2A_754170738,2A,284.898271352415
S2A_764297489,2A,297.565001785742
S2A_770253413,2A,310.331475208817
S2A_775587294,2A,314.800438252676
S2A_781066238,2A,323.055997807124
S2B_1951774,2B,1.951774
S2B_7372921,2B,4.07701103658484
S2B_13233314,2B,10.2550198927853
S2B_19173029,2B,13.4028656080313
S2B_24178058,2B,18.109399581415
S2B_29365198,2B,30.0049440225996
S2B_39608385,2B,49.1484513858272
S2B_45041838,2B,55.6933932726168
S2B_55717954,2B,64.7495877590249
S2B_66392762,2B,76.2213997660982
S2B_77982085,2B,85.2460397487656
S2B_83379729,2B,87.689082355843
S2B_92090360,2B,94.2368965999963
S2B_97156122,2B,98.2522095004498
S2B_102548854,2B,102.117087603395
S2B_107646195,2B,104.023753414108
S2B_113287774,2B,107.235427377434
S2B_119050825,2B,110.103934834422
S2B_124287131,2B,110.103934884422
S2B_129938482,2B,111.11971688935
S2B_136225478,2B,112.788014148214
S2B_141972413,2B,114.497524123943
S2B_148425793,2B,115.693756941076
S2B_154766365,2B,118.599086283256
S2B_160215550,2B,120.024698211628
S2B_166636972,2B,121.360453898664
S2B_172047184,2B,123.817598587092
S2B_177072876,2B,125.303205437605
S2B_182140982,2B,125.303205487605
S2B_187830572,2B,127.257872129815
S2B_215511691,2B,133.127865492058
S2B_307075059,2B,136.39457390967
S2B_380965138,2B,138.056923704122
S2B_423680231,2B,138.913105954567
S2B_429656085,2B,138.913106004567
S2B_435062632,2B,139.134398429627
S2B_440183940,2B,139.134398479627
S2B_447456552,2B,139.134398529627
S2B_453346191,2B,140.949552897481
S2B_458837534,2B,141.888987454523
S2B_463852436,2B,142.734309036704
S2B_471737568,2B,144.646984090897
S2B_479382913,2B,144.837176412067
S2B_485735101,2B,145.191382264599
S2B_491989897,2B,145.81308330656
S2B_497456185,2B,146.647309926504
S2B_503998393,2B,146.977863916399
S2B_509694771,2B,146.977863966399
S2B_515557004,2B,147.311123107167
S2B_522739953,2B,150.049795217182
S2B_530850328,2B,151.700032048706
S2B_537299511,2B,152.608866736808
S2B_542358043,2B,152.608866786808
S2B_547596616,2B,152.608866836808
S2B_553878970,2B,153.715754281597
S2B_561118496,2B,160.695488798612
S2B_566572629,2B,161.908979741257
S2B_572441952,2B,162.288803970781
S2B_577492130,2B,163.122803538809
S2B_583651677,2B,167.639004755132
S2B_588704042,2B,169.975031435989
S2B_593748696,2B,171.467669355705
S2B_598920872,2B,171.504698768858
S2B_604086503,2B,172.78063490207
S2B_609549063,2B,173.195212735204
S2B_615266587,2B,174.817298375224
S2B_623170322,2B,176.094195866341
S2B_628938426,2B,176.094195916341
S2B_633975521,2B,176.591242424078
S2B_639311822,2B,178.249873218431
S2B_644495057,2B,180.562515408656
S2B_649811898,2B,182.216638510296
S2B_654820497,2B,182.596857040275
S2B_659988403,2B,183.910526813259
S2B_665061914,2B,185.958240941976
S2B_670622298,2B,187.024392925046
S2B_675787474,2B,189.30888314123
S2B_681000598,2B,191.16395178206
S2B_686632830,2B,193.078696029253
S2B_691800657,2B,197.590071484689
S2B_698251106,2B,198.435833443949
S2B_703856065,2B,201.956000451328
S2B_709536077,2B,205.10015947971
S2B_715207058,2B,209.132047373339
S2B_720540201,2B,211.615164770084
S2B_725669806,2B,215.096781853232
S2B_731740525,2B,217.409250033165
S2B_736942592,2B,220.47118953953
S2B_742576251,2B,226.093313969489
S2B_747701900,2B,228.713632818633
S2B_752791434,2B,240.090013443906
S2B_758171990,2B,246.509534198602
S2B_763436538,2B,254.380111334019
S2B_768737231,2B,255.269512038283
S2B_774402137,2B,256.120076612345
S2B_779798371,2B,256.599357950091
S2B_785503732,2B,265.085985044345
S2B_790682712,2B,278.899687141742
S2B_795770838,2B,286.41608739273
S2B_803286438,2B,295.506052615121
S2B_808851205,2B,296.756584553867
S2D_305098,2D,0.305098
S2D_6160503,2D,10.9203686465769
S2D_16875581,2D,44.0578327314023
S2D_29833864,2D,65.8936465636471
S2D_35055769,2D,83.3200653509555
S2D_40469438,2D,93.3692428336872
S2D_46139616,2D,99.7628671008659
S2D_51817712,2D,106.494735034849
S2D_59776393,2D,118.485770417953
S2D_66212591,2D,123.397719986357
S2D_71463756,2D,123.604618099627
S2D_78406405,2D,130.478672652923
S2D_92629971,2D,138.334710952748
S2D_100046536,2D,138.657541449548
S2D_106033966,2D,141.638456251461
S2D_111363562,2D,143.529800188389
S2D_116851581,2D,147.38331909436
S2D_122287029,2D,149.967574420257
S2D_128217268,2D,150.276359932982
S2D_133442413,2D,154.085792230806
S2D_138969489,2D,155.198584086326
S2D_145718382,2D,156.036133320844
S2D_156578268,2D,158.846078310528
S2D_162057127,2D,162.077169327176
S2D_167067016,2D,165.634820742037
S2D_173729832,2D,166.071302121229
S2D_182125798,2D,166.730417739737
S2D_189924164,2D,169.727514144552
S2D_199734748,2D,173.719462217907
S2D_222576405,2D,174.067662203156
S2D_229587195,2D,174.067662253156
S2D_241176069,2D,177.198258546146
S2D_248933758,2D,177.198258596146
S2D_286633020,2D,177.198258646146
S2D_301153575,2D,180.560817271169
S2D_320401935,2D,180.902751907483
S2D_329926578,2D,184.680891567494
S2D_341294825,2D,184.680891617494
S2D_354481250,2D,184.680891667494
S2D_364976108,2D,189.550218942179
S2D_371236063,2D,190.08926788348
S2D_376416682,2D,191.51406843436
S2D_382035393,2D,194.538339190519
S2D_388034875,2D,198.505212358987
S2D_396278546,2D,198.722641103792
S2D_402032848,2D,199.385048879259
S2D_408104229,2D,200.029547425391
S2D_414226709,2D,203.294880464996
S2D_419851445,2D,204.281373453
S2D_424956205,2D,204.515669661338
S2D_430303611,2D,205.677248836476
S2D_435839447,2D,207.744774158262
S2D_442982621,2D,208.57164492251
S2D_449701360,2D,209.188046738923
S2D_455754335,2D,209.804598762705
S2D_461853833,2D,210.826752835853
S2D_468665657,2D,213.380687165638
S2D_474479629,2D,215.035743090388
S2D_480940766,2D,217.75847332321
S2D_486572701,2D,218.618076249375
S2D_491772866,2D,219.326717382264
S2D_497427663,2D,220.779790855876
S2D_503191790,2D,221.356842649004
S2D_510271388,2D,223.042208728755
S2D_517852284,2D,225.071813826756
S2D_529326321,2D,226.71365802474
S2D_536265175,2D,228.38582620883
S2D_541988821,2D,231.272869371084
S2D_547427957,2D,236.467487904782
S2D_564043681,2D,243.757481728888
S2D_575316162,2D,255.255011885329
S2D_588690507,2D,268.907050357273
S2D_604369721,2D,294.377519798874
S2D_619515555,2D,316.990981296578
S2D_624930200,2D,329.52162319257
S2D_632513693,2D,341.545876720895
S2D_637549636,2D,348.774433087935
S2D_646108056,2D,377.736716222675
S2D_651562722,2D,391.438326839021
S3A_2014132,3A,2.014132
S3A_7331470,3A,4.61461178262597
S3A_12411476,3A,7.21251024522312
S3A_17495388,3A,11.6188978955094
S3A_22677701,3A,19.4038619850305
S3A_28741079,3A,49.2517429882178
S3A_35739648,3A,56.2656521256864
S3A_41245027,3A,61.0964965756562
S3A_62620435,3A,82.5832768316952
S3A_68721774,3A,84.2627845298013
S3A_79780196,3A,86.8783900124386
S3A_478647343,3A,96.6115674849175
S3A_508690694,3A,99.9912768864915
S3A_513884656,3A,100.164751655635
S3A_518987132,3A,101.15852598147
S3A_524345170,3A,101.898234835764
S3A_529853149,3A,102.429499724755
S3A_535310003,3A,102.630987358326
S3A_542012151,3A,104.770646374288
S3A_547113213,3A,105.594710179626
S3A_552323377,3A,110.159635101626
S3A_557443726,3A,110.361079347558
S3A_562928486,3A,110.984862096953
S3A_568062006,3A,111.206368747274
S3A_575396528,3A,114.251197675288
S3A_580833581,3A,117.493702182191
S3A_585863046,3A,119.988301821017
S3A_590998809,3A,125.858847667458
S3A_596125678,3A,132.616989434467
S3A_601153737,3A,141.087687463275
S3A_607827661,3A,144.684748981621
S3A_613732303,3A,146.496892413448
S3A_619003771,3A,148.875579967887
S3A_624150409,3A,150.548210785042
S3A_629290072,3A,151.46097164721
S3A_635430367,3A,154.391125563984
S3A_641572913,3A,159.136548475823
S3A_646815809,3A,163.987912885856
S3A_652966049,3A,170.75168179807
S3A_658124704,3A,176.062824533763
S3A_664064288,3A,183.872509523593
S3A_669347529,3A,183.872509573593
S3A_676193236,3A,186.903145511941
S3A_681487368,3A,188.108412051693
S3A_686680776,3A,194.985957418005
S3A_691701218,3A,211.045109714241
S3A_697085139,3A,218.252682050162
S3A_702396658,3A,225.556767744547
S3A_707432921,3A,227.878821958132
S3A_712897959,3A,232.417259678083
S3A_718301128,3A,244.550444563058
S3A_724105302,3A,252.215820540354
S3A_729201356,3A,265.40672241688
S3A_734367779,3A,270.110066625863
S3A_739751164,3A,275.075199832043
S3A_746180343,3A,280.367829536978
S3A_753430534,3A,288.645214889267
S3B_433659,3B,0.433659
S3B_5712133,3B,0.433659049999999
S3B_13205169,3B,4.74520769868851
S3B_18455849,3B,7.73217750510895
S3B_23499440,3B,15.427230475619
S3B_28506123,3B,25.1622945999735
S3B_33543503,3B,40.2948260516075
S3B_38604467,3B,49.5010325818893
S3B_44227571,3B,54.6931048744464
S3B_49794443,3B,56.4359961311282
S3B_54919852,3B,64.4076317809541
S3B_60182079,3B,67.0062176357666
S3B_65902610,3B,71.3399064793565
S3B_85948744,3B,76.480098175233
S3B_96360339,3B,77.7130684520081
S3B_102839854,3B,77.7130685020081
S3B_108073889,3B,77.7130685520081
S3B_127736397,3B,77.945472092025
S3B_133071922,3B,78.2351956745552
S3B_138743477,3B,78.2351957245552
S3B_154499928,3B,78.4816391532517
S3B_159683803,3B,79.0494330054435
S3B_196343474,3B,80.4676854826993
S3B_207242181,3B,80.6851230237336
S3B_290607685,3B,81.8441597472921
S3B_398414893,3B,82.9269070882823
S3B_513160574,3B,87.3201955568599
S3B_624802748,3B,94.4385191393332
S3B_630150613,3B,94.9532478919146
S3B_647724700,3B,96.6609519761679
S3B_653354048,3B,98.1470226560497
S3B_659154545,3B,98.7903716238511
S3B_664864455,3B,100.543323532449
S3B_669887136,3B,101.931735141911
S3B_674973157,3B,103.718873033715
S3B_683695229,3B,104.894112108036
S3B_689337298,3B,108.776345182939
S3B_694696086,3B,109.575001627011
S3B_699933654,3B,113.496318994885
S3B_705409128,3B,113.496319044885
S3B_711010311,3B,113.496319094885
S3B_718561077,3B,114.863063610847
S3B_729148444,3B,117.352833378617
S3B_734963019,3B,119.484065031579
S3B_740510501,3B,120.943965862531
S3B_745543544,3B,125.173078078
S3B_751339681,3B,132.075231814812
S3B_756448449,3B,139.086496015426
S3B_767401712,3B,152.675306557171
S3B_774422599,3B,163.140204227431
S3B_779594020,3B,178.699956400546
S3B_812173317,3B,238.349207033132
S3B_818277614,3B,248.148451811593
S3B_828535247,3B,264.960975146254
S3B_836327891,3B,1231.80954618834
S3B_843859967,3B,2198.65811723043
S3D_8331908,3D,8.331908
S3D_19911588,3D,54.9042080737573
S3D_28975645,3D,80.5434582816725
S3D_34372440,3D,94.7516595533401
S3D_40931552,3D,98.6914582747723
S3D_47585758,3D,109.506299118188
S3D_57630252,3D,117.613370971161
S3D_67568387,3D,123.171774434857
S3D_72631605,3D,123.778093486035
S3D_77898785,3D,124.745901483705
S3D_83110585,3D,125.516826972826
S3D_375103766,3D,137.759174437783
S3D_381553602,3D,138.413166750265
S3D_389740109,3D,140.77579671966
S3D_406938658,3D,142.359408684792
S3D_419915831,3D,145.946629023071
S3D_426276775,3D,147.416049429782
S3D_442359708,3D,153.923504124274
S3D_450202241,3D,156.554661733757
S3D_455273155,3D,157.527191020416
S3D_460710864,3D,161.139333911964
S3D_467167432,3D,167.09736683913
S3D_473159949,3D,170.834798353292
S3D_482280549,3D,174.956385510026
S3D_488364384,3D,176.654997595719
S3D_494799506,3D,178.792422065978
S3D_500919994,3D,181.912345038749
S3D_505971910,3D,183.612003230677
S3D_513418864,3D,188.84266831505
S3D_520284796,3D,194.016546653643
S3D_525389901,3D,197.636344968399
S3D_530394089,3D,200.750737054916
S3D_536592853,3D,203.540686356549
S3D_542001924,3D,206.327587344069
S3D_548414975,3D,214.676709865289
S3D_553533531,3D,225.009757331047
S3D_558551694,3D,233.05055776001
S3D_563817151,3D,244.497477316386
S3D_569303975,3D,251.937103724533
S3D_574612270,3D,261.331012863995
S3D_579756726,3D,271.915833318703
S3D_585625447,3D,292.198686554438
S3D_592564215,3D,306.521245619185
S3D_599123576,3D,325.180756020221
S3D_604129901,3D,334.047408340095
S3D_610693922,3D,342.724537210976
S3D_619004830,3D,354.725476226426
S4A_203937,4A,0.203937
S4A_5922374,4A,18.002715349448
S4A_14735215,4A,45.1631522170496
S4A_21063377,4A,59.294919323901
S4A_29326508,4A,71.5333902795612
S4A_34857250,4A,72.3332389249989
S4A_40815931,4A,84.6958804314747
S4A_45832504,4A,88.2121466947954
S4A_91153364,4A,95.300935811222
S4A_104394296,4A,97.1027805185523
S4A_109797962,4A,98.1246722960134
S4A_114802272,4A,98.373348951269
S4A_120373653,4A,98.6274359241884
S4A_125798478,4A,98.6274359741884
S4A_131821351,4A,98.6274369246248
S4A_137310894,4A,98.8747875273389
S4A_143550620,4A,100.503860263093
S4A_154626449,4A,101.207510349576
S4A_160794296,4A,103.218655611243
S4A_167483943,4A,104.271626612273
S4A_173954177,4A,104.884344894248
S4A_190808969,4A,104.884344944248
S4A_199072451,4A,106.537261954951
S4A_215325397,4A,108.898019601821
S4A_233102413,4A,110.053072311127
S4A_238711722,4A,110.053072361127
S4A_245744837,4A,110.053072411127
S4A_265644387,4A,110.992557195313
S4A_272559410,4A,110.992557245313
S4A_281264871,4A,110.992557295313
S4A_290775701,4A,110.992557345313
S4A_296443961,4A,111.234824503725
S4A_304862714,4A,111.234824553725
S4A_310459077,4A,111.47697842357
S4A_316222498,4A,112.216239350331
S4A_321999286,4A,112.216239400331
S4A_330753819,4A,113.019809037761
S4A_338258514,4A,113.281328566647
S4A_348678697,4A,113.281328616647
S4A_356676874,4A,113.281328666647
S4A_367972039,4A,113.281328716647
S4A_383107012,4A,113.281328766647
S4A_391151982,4A,115.589764761131
S4A_397272379,4A,117.310768238013
S4A_406814624,4A,119.60343677963
S4A_416322577,4A,119.60343682963
S4A_424718261,4A,120.030583192829
S4A_435657493,4A,122.684819043887
S4A_441994771,4A,123.611697804431
S4A_452064575,4A,123.611697854431
S4A_466420907,4A,124.495614684928
S4A_473591689,4A,126.217167492508
S4A_482684962,4A,127.807488324025
S4A_488148772,4A,127.807488374025
S4A_496216465,4A,127.807488424025
S4A_505473361,4A,127.807488474025
S4A_511735386,4A,127.807488524025
S4A_520057321,4A,127.807488574025
S4A_526570312,4A,129.516149958636
S4A_531933412,4A,130.609765822094
S4A_537902480,4A,131.143716484065
S4A_543185287,4A,132.376434750582
S4A_548897128,4A,133.522749285748
S4A_560132060,4A,133.522749335748
S4A_566023354,4A,133.707949110062
S4A_571161875,4A,134.307889006833
S4A_576313304,4A,135.794202837348
S4A_581395546,4A,136.835407430036
S4A_596522231,4A,145.804670755989
S4A_601809422,4A,158.33657299905
S4A_606932107,4A,169.947474353023
S4A_612458966,4A,177.965364868566
S4A_617843240,4A,199.326942429244
S4A_624750435,4A,211.944129488126
S4A_629971093,4A,221.367654742183
S4A_637376504,4A,231.942475582625
S4A_643288077,4A,367.776613629727
S4A_648463581,4A,373.079756028852
S4A_658378909,4A,377.292476277834
S4A_663790974,4A,385.382165830692
S4A_668940593,4A,391.189902125928
S4A_676790257,4A,406.981550450941
S4A_682396621,4A,410.981731531292
S4A_687812296,4A,416.149680818281
S4A_692850910,4A,493.808678866559
S4A_698231404,4A,498.195226704328
S4A_717044889,4A,504.664224985493
S4A_722963774,4A,517.245940696058
S4A_736755879,4A,530.998688976502
S4A_742361965,4A,535.333420100101
S4A_748081826,4A,537.948359455675
S4B_630811,4B,0.630811
S4B_5666052,4B,6.28933075340263
S4B_10834303,4B,19.7308366791175
S4B_15848243,4B,36.3582927029549
S4B_22423566,4B,49.7815306727138
S4B_29264670,4B,60.8248396374751
S4B_46034718,4B,70.8752995342559
S4B_51510094,4B,74.7249836610246
S4B_56618614,4B,76.6306337135975
S4B_62313549,4B,77.5979375881003
S4B_67332136,4B,79.7597598961301
S4B_72465486,4B,80.0059895402297
S4B_78803982,4B,80.5703972420984
S4B_87098646,4B,80.8949512525283
S4B_92527488,4B,82.1770962503179
S4B_97798050,4B,83.0133460077209
S4B_102928378,4B,83.2546332798301
S4B_110269850,4B,83.2546333298301
S4B_124626502,4B,83.2546333798301
S4B_132193181,4B,83.2546334298301
S4B_138872501,4B,84.2601591937963
S4B_144232278,4B,85.9336162639589
S4B_150484397,4B,85.9336164757912
S4B_157716179,4B,86.1803262532599
S4B_162953613,4B,86.1803263032599
S4B_169135224,4B,86.1803263532599
S4B_175851662,4B,87.3578391122676
S4B_183549499,4B,87.3578391622676
S4B_209255450,4B,87.5613138282238
S4B_230153497,4B,87.5613138782238
S4B_247488037,4B,87.5613139282238
S4B_281276456,4B,87.5613139782238
S4B_287982788,4B,88.9626945552794
S4B_304901838,4B,90.3643119089143
S4B_314400146,4B,90.3643119589143
S4B_342486421,4B,90.3643120089143
S4B_375715119,4B,90.3643120589143
S4B_381476544,4B,90.5898250519512
S4B_405548979,4B,92.2033649113895
S4B_413325637,4B,93.914903941051
S4B_418680986,4B,95.121481073478
S4B_431040180,4B,97.0147778384928
S4B_436365625,4B,97.1700457048524
S4B_449639954,4B,97.1700457548524
S4B_454786360,4B,97.1700458048524
S4B_460167496,4B,98.8084453799014
S4B_465256254,4B,99.9421457867858
S4B_470894306,4B,101.668076929973
S4B_476464139,4B,101.879371600305
S4B_482017884,4B,102.304884914411
S4B_488305751,4B,103.638048282933
S4B_494091694,4B,103.658097130883
S4B_499456363,4B,104.279976174607
S4B_506404444,4B,105.1144949725
S4B_511785066,4B,105.237806786557
S4B_561866941,4B,108.43289384376
S4B_567435994,4B,109.390999810561
S4B_578531776,4B,113.159782617267
S4B_583834001,4B,113.981453289345
S4B_589959812,4B,113.981453339345
S4B_596817471,4B,113.981453389345
S4B_602780633,4B,115.16465638342
S4B_608375547,4B,116.688711013
S4B_614041581,4B,118.471638839906
S4B_619072810,4B,124.803220968956
S4B_624099395,4B,126.423629465283
S4B_629909682,4B,134.335275439185
S4B_634952191,4B,138.458132866524
S4B_640015094,4B,144.62131345333
S4B_645671590,4B,154.351832582622
S4B_651261547,4B,163.625589637455
S4B_656643557,4B,172.790360787179
S4B_664376757,4B,184.393599833345
S4B_670349074,4B,199.212881580527
S4D_539185,4D,0.539185
S4D_5870034,4D,14.6322039839617
S4D_11347493,4D,28.6417892603293
S4D_17076917,4D,44.1813843266472
S4D_50311740,4D,64.9474923385191
S4D_144460734,4D,70.5839204528592
S4D_368507096,4D,75.2647413521576
S4D_373549838,4D,75.7208704264199
S4D_379713259,4D,76.6267450982028
S4D_386782821,4D,76.6267451482028
S4D_394796065,4D,77.019025108028
S4D_401132461,4D,79.9598184713684
S4D_410561725,4D,82.3022440739245
S4D_416270870,4D,82.3022441239245
S4D_426698193,4D,84.6816785138929
S4D_433629371,4D,86.1224031902982
S4D_442984110,4D,89.9509310207763
S4D_449324435,4D,90.5225813484466
S4D_454644514,4D,92.7436739117176
S4D_459871931,4D,94.5706947302609
S4D_466467879,4D,96.9345659629948
S4D_490600463,4D,134.173625069805
S4D_496685621,4D,142.009773275746
S4D_502196581,4D,164.686782493934
S4D_509159703,4D,182.637155356893
S5A_2069074,5A,2.069074
S5A_7244122,5A,9.63869176545758
S5A_12254340,5A,19.9830882703699
S5A_17668322,5A,27.4012793298543
S5A_22821923,5A,34.8545402011883
S5A_28748636,5A,35.8964131665357
S5A_36195245,5A,51.8094711276463
S5A_41317257,5A,57.5666037547846
S5A_53299718,5A,68.64658300448
S5A_59255248,5A,69.454621343315
S5A_66243094,5A,69.454621393315
S5A_75304811,5A,72.0434266644146
S5A_90089161,5A,72.0434267265076
S5A_95469986,5A,72.2638388837876
S5A_114249913,5A,75.0087637662697
S5A_133337117,5A,76.8005801516301
S5A_139892783,5A,76.8005802016301
S5A_146504683,5A,76.8005802516301
S5A_153866832,5A,76.8005803016301
S5A_159436500,5A,76.8005803516301
S5A_167923552,5A,77.3625276700508
S5A_174314963,5A,79.8318709472577
S5A_179374504,5A,82.1142346593165
S5A_194279458,5A,82.1142347093165
S5A_207493312,5A,82.1142347593165
